group,amputation,angina,blindness,chf,death,dialysis,egfr_30,egfr_60,hypoglycemia_any,hypoglycemia_medical,intervention,laser_retina,macroalbuminuria,mi,microalbuminuria,neurop,person_years,revasc,stroke,ulcer
non-intervention--0038,295,1693,3103,1697,10000,641,1060,3901,1736,4307,0,2940,3896,2301,6333,9396,204109,3975,1432,3504
non-intervention--0039,317,1688,3095,1680,10000,721,1054,3857,1741,4464,0,2969,4023,2244,6279,9412,205595,4018,1492,3491
non-intervention--0040,284,1722,3172,1776,10000,646,1065,3913,1846,4398,0,2946,3961,2297,6311,9430,205820,4087,1449,3609
non-intervention--0041,288,1775,3122,1683,10000,670,1060,3901,1844,4277,0,2996,3900,2314,6335,9388,205923,3979,1424,3519
non-intervention--0042,291,1767,3153,1741,10000,676,1088,3886,1775,4435,0,2942,3892,2256,6402,9441,205028,4000,1437,3558
non-intervention--0043,277,1805,3161,1677,10000,637,1029,3930,1804,4515,0,2945,3920,2265,6324,9423,204747,4002,1440,3625
non-intervention--0044,284,1738,3057,1680,10000,642,1085,3878,1819,4368,0,2912,3932,2202,6372,9406,203648,3979,1410,3520
non-intervention--0045,313,1655,3152,1710,10000,645,1030,3896,1817,4438,0,2944,3974,2244,6285,9364,204200,3919,1365,3525
non-intervention--0046,264,1693,3153,1660,10000,597,1062,3859,1807,4417,0,2922,3851,2307,6316,9380,203279,3982,1406,3603
non-intervention--0047,275,1711,3124,1749,10000,677,1077,3848,1803,4289,0,2965,3951,2224,6293,9357,203068,3915,1443,3439
non-intervention--0048,255,1702,3115,1695,10000,681,1063,3922,1833,4307,0,2887,4032,2274,6328,9443,203727,3894,1443,3484
non-intervention--0049,288,1775,3122,1683,10000,670,1060,3901,1844,4277,0,2996,3900,2314,6335,9388,205923,3979,1424,3519
non-intervention--0050,276,1688,3147,1754,10000,663,1043,3929,1958,4486,0,2911,3971,2265,6300,9438,204826,3999,1381,3608
non-intervention--0051,308,1715,3210,1752,10000,647,1095,3863,1762,4578,0,2961,4007,2295,6328,9481,205243,4067,1330,3615
non-intervention--0052,280,1744,3119,1738,10000,672,1053,3900,1793,4318,0,2919,3962,2240,6287,9418,204668,3952,1411,3560
non-intervention--0053,248,1648,3096,1674,10000,644,1039,3920,1769,4504,0,2866,3904,2278,6288,9370,205793,3814,1368,3624
non-intervention--0054,290,1666,3181,1709,10000,612,1014,3975,1839,4489,0,2907,3785,2200,6408,9417,203026,3981,1470,3511
non-intervention--0055,303,1684,3129,1678,10000,672,1095,3907,1817,4264,0,2957,3949,2229,6351,9385,204478,4047,1377,3580
non-intervention--0056,296,1667,3164,1716,10000,670,1117,3973,1869,4427,0,3024,3964,2245,6263,9432,206619,4098,1401,3569
non-intervention--0057,286,1778,3141,1662,10000,687,1076,3742,1901,4307,0,2863,3876,2225,6313,9425,204536,3984,1476,3458
non-intervention--0058,261,1702,3071,1730,10000,667,1081,3957,1824,4361,0,2961,3991,2243,6391,9439,205818,3999,1518,3633
non-intervention--0059,291,1729,3129,1654,10000,655,1075,3888,1815,4329,0,2870,3915,2282,6232,9353,201866,4008,1377,3448
non-intervention--0060,273,1773,3178,1712,10000,637,1029,3933,1802,4502,0,2908,3896,2213,6338,9410,204883,3994,1391,3543
non-intervention--0061,310,1711,3138,1687,10000,673,1090,3881,1793,4359,0,2980,3879,2261,6319,9430,204419,3922,1383,3520
non-intervention--0062,260,1662,3052,1746,10000,693,1037,3931,1766,4384,0,2908,3994,2273,6284,9418,204409,3791,1413,3565
non-intervention--0063,278,1712,3113,1673,10000,637,1077,3850,1800,4444,0,2837,4025,2171,6242,9405,206925,3970,1375,3456
non-intervention--0064,287,1675,3199,1725,10000,616,1078,3953,1798,4469,0,2948,3977,2246,6298,9415,204905,3973,1415,3522
non-intervention--0065,283,1689,3134,1759,10000,619,1063,3895,1866,4309,0,2935,3966,2277,6283,9344,204071,4131,1450,3500
non-intervention--0066,268,1666,3056,1697,10000,684,1070,3944,1785,4426,0,2861,3888,2233,6292,9364,203651,3867,1429,3392
non-intervention--0067,273,1668,3090,1661,10000,638,1064,3951,1767,4380,0,2954,4006,2301,6264,9421,204641,3946,1430,3577
non-intervention--0068,266,1676,3107,1714,10000,664,1052,3902,1872,4359,0,2935,3930,2278,6388,9433,204949,3960,1469,3627
non-intervention--0069,298,1767,3155,1716,10000,651,1097,3872,1755,4304,0,2877,3886,2266,6385,9417,205349,4056,1453,3637
non-intervention--0070,311,1712,3079,1698,10000,686,1088,3837,1844,4360,0,2925,3948,2287,6294,9429,205080,4042,1410,3607
non-intervention--0071,276,1745,3106,1729,10000,658,1111,3836,1832,4412,0,2878,3918,2230,6264,9396,204355,4009,1409,3519
non-intervention--0072,318,1665,3063,1701,10000,617,1061,3950,1833,4325,0,2928,3969,2281,6313,9421,203083,3877,1423,3547
non-intervention--0073,267,1745,3138,1744,10000,727,1051,3913,1811,4495,0,2955,4017,2224,6366,9422,207454,3934,1419,3532
non-intervention--0074,304,1733,3220,1733,10000,702,1129,3905,1805,4471,0,2914,3916,2343,6243,9397,204965,4079,1442,3541
non-intervention--0075,310,1759,3119,1684,10000,668,1092,3897,1857,4325,0,2941,3947,2217,6299,9404,202686,4028,1372,3548
non-intervention--0076,308,1706,3175,1714,10000,637,1036,3905,1761,4431,0,2877,3965,2272,6332,9414,203859,4042,1344,3532
non-intervention--0077,309,1677,3176,1704,10000,692,1083,3830,1896,4350,0,2949,3916,2302,6279,9406,204478,3894,1466,3642
non-intervention--0078,300,1737,3139,1738,10000,694,1067,3921,1916,4508,0,2947,3949,2202,6271,9392,202427,3930,1471,3614
non-intervention--0079,286,1693,3176,1718,10000,686,1047,3827,1861,4397,0,2918,3907,2310,6302,9383,203962,3881,1429,3479
non-intervention--0080,270,1738,3071,1709,10000,670,1077,3971,1787,4448,0,2881,3914,2249,6301,9375,203131,4014,1504,3448
non-intervention--0081,269,1718,3187,1760,10000,637,1123,3881,1860,4351,0,2935,3860,2202,6235,9410,203886,3850,1368,3478
non-intervention--0082,309,1747,3138,1665,10000,653,1066,3855,1753,4422,0,2922,3887,2318,6319,9393,203855,4020,1491,3511
non-intervention--0083,281,1717,3156,1729,10000,651,1082,3789,1831,4463,0,2935,3949,2246,6214,9385,205848,3827,1400,3474
non-intervention--0084,302,1808,3160,1706,10000,666,1049,3913,1709,4486,0,3008,3910,2273,6305,9404,204292,4009,1418,3496
non-intervention--0085,280,1728,3032,1718,10000,657,1054,3860,1746,4313,0,2854,3888,2279,6253,9389,202483,4029,1403,3547
non-intervention--0086,281,1725,3229,1759,10000,630,1104,3924,1783,4413,0,2943,3984,2216,6270,9407,203861,4148,1336,3534
non-intervention--0087,277,1699,3116,1606,10000,651,1039,3889,1755,4368,0,2878,3975,2268,6359,9393,203304,3917,1304,3585
non-intervention--0088,294,1709,3105,1708,10000,690,1105,3843,1795,4550,0,2980,3957,2242,6187,9371,204295,3968,1452,3658
non-intervention--0089,312,1704,3164,1696,10000,671,1125,3871,1818,4312,0,2926,3987,2204,6312,9367,203373,3953,1409,3567
non-intervention--0090,297,1719,3159,1693,10000,631,1085,3876,1756,4494,0,2980,3918,2257,6321,9395,204199,4021,1495,3530
non-intervention--0091,282,1778,3159,1685,10000,680,1044,3794,1838,4337,0,2849,3954,2242,6309,9363,204378,3863,1433,3544
non-intervention--0092,278,1685,3119,1719,10000,664,1076,3882,1808,4328,0,2897,3975,2237,6345,9450,203481,3873,1412,3439
non-intervention--0093,287,1711,3193,1764,10000,677,1094,3903,1798,4488,0,2825,3979,2301,6262,9409,204665,3882,1342,3621
non-intervention--0094,276,1733,3165,1677,10000,656,1086,3882,1867,4412,0,2877,3918,2344,6350,9397,204127,4011,1387,3527
non-intervention--0095,280,1768,3205,1795,10000,645,1131,3946,1825,4348,0,2948,3992,2181,6343,9409,203401,4008,1341,3430
non-intervention--0096,286,1710,3059,1766,10000,641,1062,3881,1863,4330,0,2834,3883,2292,6462,9398,205576,3986,1451,3517
non-intervention--0097,308,1745,3139,1746,10000,645,1057,3879,1884,4476,0,2953,3940,2335,6464,9445,206360,4060,1369,3600
non-intervention--0098,315,1693,3029,1686,10000,622,1143,3849,1891,4510,0,2920,3926,2283,6305,9391,203809,3890,1365,3696
non-intervention--0099,291,1748,3155,1702,10000,692,1069,3874,1819,4365,0,2978,3920,2316,6252,9416,203963,3912,1400,3585
non-intervention--0100,241,1698,3113,1627,10000,660,1047,3903,1847,4380,0,2940,3941,2204,6258,9394,204092,3884,1411,3505
