group,amputation,angina,blindness,chf,death,dialysis,egfr_30,egfr_60,hypoglycemia_any,hypoglycemia_medical,intervention,laser_retina,macroalbuminuria,mi,microalbuminuria,neurop,person_years,revasc,stroke,ulcer
non-intervention--0084,302,1808,3160,1706,10000,666,1049,3913,1709,4486,0,3008,3910,2273,6305,9404,204292,4009,1418,3496
non-intervention--0085,280,1728,3032,1718,10000,657,1054,3860,1746,4313,0,2854,3888,2279,6253,9389,202483,4029,1403,3547
non-intervention--0086,281,1725,3229,1759,10000,630,1104,3924,1783,4413,0,2943,3984,2216,6270,9407,203861,4148,1336,3534
non-intervention--0087,277,1699,3116,1606,10000,651,1039,3889,1755,4368,0,2878,3975,2268,6359,9393,203304,3917,1304,3585
non-intervention--0088,294,1709,3105,1708,10000,690,1105,3843,1795,4550,0,2980,3957,2242,6187,9371,204295,3968,1452,3658
non-intervention--0089,312,1704,3164,1696,10000,671,1125,3871,1818,4312,0,2926,3987,2204,6312,9367,203373,3953,1409,3567
non-intervention--0090,297,1719,3159,1693,10000,631,1085,3876,1756,4494,0,2980,3918,2257,6321,9395,204199,4021,1495,3530
non-intervention--0091,282,1778,3159,1685,10000,680,1044,3794,1838,4337,0,2849,3954,2242,6309,9363,204378,3863,1433,3544
non-intervention--0092,278,1685,3119,1719,10000,664,1076,3882,1808,4328,0,2897,3975,2237,6345,9450,203481,3873,1412,3439
non-intervention--0093,287,1711,3193,1764,10000,677,1094,3903,1798,4488,0,2825,3979,2301,6262,9409,204665,3882,1342,3621
non-intervention--0094,276,1733,3165,1677,10000,656,1086,3882,1867,4412,0,2877,3918,2344,6350,9397,204127,4011,1387,3527
non-intervention--0095,280,1768,3205,1795,10000,645,1131,3946,1825,4348,0,2948,3992,2181,6343,9409,203401,4008,1341,3430
non-intervention--0096,286,1710,3059,1766,10000,641,1062,3881,1863,4330,0,2834,3883,2292,6462,9398,205576,3986,1451,3517
non-intervention--0097,308,1745,3139,1746,10000,645,1057,3879,1884,4476,0,2953,3940,2335,6464,9445,206360,4060,1369,3600
non-intervention--0098,315,1693,3029,1686,10000,622,1143,3849,1891,4510,0,2920,3926,2283,6305,9391,203809,3890,1365,3696
non-intervention--0099,291,1748,3155,1702,10000,692,1069,3874,1819,4365,0,2978,3920,2316,6252,9416,203963,3912,1400,3585
non-intervention--0100,241,1698,3113,1627,10000,660,1047,3903,1847,4380,0,2940,3941,2204,6258,9394,204092,3884,1411,3505
